WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4046268235649 -34.58622039271,-58.405728171852 -34.5855635534762))";24870;PEÃA;CALLE;17054;6021;15-053;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4049168109394 -34.5844927587899,-58.4042034744371 -34.5837005286495,-58.4040867655262 -34.5835727837049))";24871;BILLINGHURST;CALLE;2082;5645;15-054;derecho;2401 - 2499;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4016424858495 -34.5821830733522,-58.4020524217606 -34.5832883139454))";24872;SANCHEZ DE BUSTAMANTE;CALLE;20029;5411;15-055;derecho;2601 - 2699;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4038112627186 -34.5832857710547,-58.4037434943882 -34.5832115462984,-58.4025807288858 -34.5819209542107))";24873;BILLINGHURST;CALLE;2082;5415;15-055;derecho;2501 - 2599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4055221388919 -34.5824083670245,-58.4048210555778 -34.5826302906964))";24874;CABELLO;CALLE;3003;5236;15-058;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4073843798827 -34.587350680682,-58.4073707218089 -34.58736152759,-58.4065885707164 -34.5879426110502))";24875;JUNCAL;CALLE;10014;6405;15-050;derecho;2901 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4124057496457 -34.595714265792,-58.4118113706169 -34.596197364218,-58.4117428000869 -34.5962401031577))";24876;SOLER;CALLE;20104;8135;15-060;derecho;3301 - 3385;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4126669068724 -34.5956523903682,-58.4124664125863 -34.5956527373994))";24877;GORRITI;CALLE;7072;28605;15-060;derecho;3391 - 3399;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4125003603175 -34.5948513935577,-58.4113109240413 -34.5953942253603))";24878;PARAGUAY;CALLE;17017;7959;15-061;derecho;3101 - 3199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4097133588643 -34.5913653120707,-58.4091916436528 -34.5917057073023))";24879;GUEMES;CALLE;7098;7269;15-063;derecho;3001 - 3085;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
