calle,x0,y0,hora,cantidad
LIMA OESTE 1524,-58.382189,-34.626200,2,5
RIVADAVIA AV. 7420,-58.469991,-34.630911,4,3
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,1,1
RIVADAVIA AV. 7420,-58.469991,-34.630911,1,1
OLIVERA AV. 187,-58.487032,-34.637596,17,1
OLIVERA AV. 187,-58.487032,-34.637596,12,9
RIVADAVIA AV. 7420,-58.469991,-34.630911,19,11
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,20,8
OLIVERA AV. 187,-58.487032,-34.637596,11,3
AVELLANEDA AV. 1825,-58.456423,-34.621237,19,5
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,20,7
CALLAO AV. 1588,-58.391201,-34.591009,13,17
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,17,12
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,8,14
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,9,31
FOREST AV. 634,-58.454309,-34.584925,8,11
AVELLANEDA AV. 1825,-58.456423,-34.621237,9,3
AVELLANEDA AV. 2924,-58.471929,-34.626563,13,4
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,9,4
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,15,2
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,19,1
CALLAO AV. 1588,-58.391201,-34.591009,15,14
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,12,14
CALLAO AV. 1588,-58.391201,-34.591009,19,19
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,2,4
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,11,12
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,19,4
CALLAO AV. 337,-58.392133,-34.605181,11,13
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,16,14
SANTA FE AV. 4650,-58.425858,-34.578448,12,4
CORDOBA AV. 2149,-58.398175,-34.599668,18,14
CORDOBA AV. 4570,-58.429776,-34.594591,10,9
CORDOBA AV. 2801,-58.407164,-34.597965,12,8
GAONA AV. 2300,-58.459429,-34.613877,10,6
CORDOBA AV. 3329,-58.413685,-34.597847,10,6
CORDOBA AV. 4570,-58.429776,-34.594591,15,6
BELGRANO AV. 324,-58.370911,-34.61249,15,5
BELGRANO AV. 324,-58.370911,-34.61249,13,11
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,11,17
LIMA OESTE 1524,-58.382189,-34.626200,7,14
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,0,5
SANTA FE AV. 4650,-58.425858,-34.578448,6,7
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,0,8
CALLAO AV. 337,-58.392133,-34.605181,6,6
CORDOBA AV. 3329,-58.413685,-34.597847,18,7
CORDOBA AV. 4471,-58.428774,-34.594989,13,6
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,12,2
PUEYRREDON AV. 1418,-58.402311,-34.594121,18,2
BELGRANO AV. 324,-58.370911,-34.61249,11,8
SUAREZ 1635,-58.373758,-34.638502,15,2
PUEYRREDON AV. 1418,-58.402311,-34.594121,15,3
BELGRANO AV. 324,-58.370911,-34.61249,12,7
SUAREZ 1635,-58.373758,-34.638502,2,1
ROSARIO 21,-58.429075,-34.618311,12,14
AVELLANEDA AV. 2924,-58.471929,-34.626563,17,2
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,0,2
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,13,6
CALLAO AV. 1588,-58.391201,-34.591009,14,22
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,13,1
SAN MARTIN AV. 1844,-58.454414,-34.605652,14,9
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,11,4
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,7,3
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,12,7
CALLAO AV. 1588,-58.391201,-34.591009,8,7
SAN MARTIN AV. 1844,-58.454414,-34.605652,19,8
RIVADAVIA AV. 6626,-58.459176,-34.62777,12,8
CORDOBA AV. 2523,-58.402911,-34.59879,11,2
CORDOBA AV. 2149,-58.398175,-34.599668,6,7
CORDOBA AV. 3143,-58.410998,-34.597969,15,6
CORDOBA AV. 2523,-58.402911,-34.59879,8,3
CORDOBA AV. 2149,-58.398175,-34.599668,18,10
CORDOBA AV. 3329,-58.413685,-34.597847,11,3
CORDOBA AV. 2801,-58.407164,-34.597965,11,7
CORDOBA AV. 3647,-58.417813,-34.597727,18,7
CORRIENTES AV. 5220,-58.439127,-34.59969,10,4
AVELLANEDA AV. 1825,-58.456423,-34.621237,8,7
AVELLANEDA AV. 1825,-58.456423,-34.621237,17,2
CORDOBA AV. 2801,-58.407164,-34.597965,4,1
CORDOBA AV. 3143,-58.410998,-34.597969,4,1
CORDOBA AV. 4471,-58.428774,-34.594989,15,7
SANTA FE AV. 1483,-58.388215,-34.595676,9,18
CORDOBA AV. 2801,-58.407164,-34.597965,9,7
CORDOBA AV. 4570,-58.429776,-34.594591,18,7
CORDOBA AV. 3329,-58.413685,-34.597847,1,2
CORDOBA AV. 4570,-58.429776,-34.594591,12,3
SANTA FE AV. 1483,-58.388215,-34.595676,1,2
CORDOBA AV. 4570,-58.429776,-34.594591,6,4
CORDOBA AV. 3329,-58.413685,-34.597847,4,1
CORDOBA AV. 2523,-58.402911,-34.59879,14,14
BOEDO AV. 965,-58.416231,-34.624996,20,3
BOEDO AV. 965,-58.416231,-34.624996,8,4
CORDOBA AV. 4471,-58.428774,-34.594989,16,5
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,20,1
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,15,1
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,19,2
AU. PERITO MORENO - SENTIDO PROVINCIA - PK 0+701,-58.522022,-34.636805,13,1
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,13,2
RIVADAVIA AV. 9618,-58.499769,-34.637578,11,5
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,1,1
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,4,1
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,17,3
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,1,1
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,18,2
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,2,1
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,5,1
RIVADAVIA AV. 9618,-58.499769,-34.637578,10,2
RIVADAVIA AV. 10524,-58.511786,-34.639436,10,4
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,19,24
SANTA FE AV. 1483,-58.388215,-34.595676,1,10
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,1,6
LIMA OESTE 1524,-58.382189,-34.626200,3,5
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,4,7
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,5,1
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,9,1
CORDOBA AV. 4471,-58.428774,-34.594989,13,9
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,9,14
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,5,4
LIMA 1365,-58.381495,-34.624262,10,30
LIMA 1365,-58.381495,-34.624262,3,8
ENTRE RIOS AV. 678,-58.391572,-34.616551,11,11
ROSARIO 21,-58.429075,-34.618311,5,6
BELGRANO AV. 3218,-58.411416,-34.615436,14,3
ROSARIO 21,-58.429075,-34.618311,17,14
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,7,11
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,7,8
SANTA FE AV. 2622,-58.403884,-34.594047,0,1
RIVADAVIA AV. 9618,-58.499769,-34.637578,17,3
RIVADAVIA AV. 9618,-58.499769,-34.637578,14,5
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,17,1
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,20,1
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,8,3
CORDOBA AV. 4471,-58.428774,-34.594989,9,3
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,12,3
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,16,1
CORDOBA AV. 4570,-58.429776,-34.594591,5,2
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,8,3
CORDOBA AV. 4570,-58.429776,-34.594591,15,3
RIVADAVIA AV. 2775,-58.405518,-34.610013,14,13
ENTRE RIOS AV. 326,-58.391646,-34.613,20,8
RIVADAVIA AV. 2775,-58.405518,-34.610013,12,9
CORDOBA AV. 4471,-58.428774,-34.594989,10,9
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,13,5
CABILDO AV. 1716,-58.453855,-34.565367,19,1
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,10,28
RIVADAVIA AV. 4987,-58.43608,-34.618047,11,2
ROSARIO 21,-58.429075,-34.618311,10,18
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,18,2
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,11,12
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,0,1
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,8,8
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,11,17
GAONA AV. 2300,-58.459429,-34.613877,0,2
SAN JUAN AV. 1119,-58.381832,-34.622096,14,6
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,18,3
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,17,2
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,12,3
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,12,23
SANTA FE AV. 4650,-58.425858,-34.578448,14,9
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,12,10
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,8,5
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,10,3
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,14,2
CORDOBA AV. 2801,-58.407164,-34.597965,2,2
CORDOBA AV. 1749,-58.392148,-34.599512,17,1
CORDOBA AV. 2801,-58.407164,-34.597965,20,9
CORDOBA AV. 3143,-58.410998,-34.597969,2,1
CORDOBA AV. 2801,-58.407164,-34.597965,17,10
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,15,17
CORDOBA AV. 2801,-58.407164,-34.597965,7,6
CORDOBA AV. 2801,-58.407164,-34.597965,14,9
CORDOBA AV. 3143,-58.410998,-34.597969,17,8
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,18,33
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,9,2
LIMA 1365,-58.381495,-34.624262,1,5
AU. PERITO MORENO - SENTIDO PROVINCIA - PK 0+701,-58.522022,-34.636805,14,3
SAN JUAN AV. 1119,-58.381832,-34.622096,12,5
LIMA OESTE 1524,-58.382189,-34.626200,5,13
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,6,12
LIMA 1365,-58.381495,-34.624262,1,10
LIMA 1365,-58.381495,-34.624262,0,14
SANTA FE AV. 2622,-58.403884,-34.594047,16,1
FOREST AV. 634,-58.454309,-34.584925,13,8
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,7,13
LIMA OESTE 1524,-58.382189,-34.626200,20,19
CALLAO AV. 1588,-58.391201,-34.591009,6,10
FOREST AV. 634,-58.454309,-34.584925,9,11
FOREST AV. 634,-58.454309,-34.584925,15,9
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,10,9
CORRIENTES AV. 6210,-58.448402,-34.591075,10,9
RIVADAVIA AV. 4987,-58.43608,-34.618047,12,17
RIVADAVIA AV. 7420,-58.469991,-34.630911,13,16
ROSARIO 21,-58.429075,-34.618311,11,17
RABANAL FRANCISCO INTENDENTE AV. 1323,-58.417658,-34.654886,9,5
CALLAO AV. 1588,-58.391201,-34.591009,17,17
FOREST AV. 634,-58.454309,-34.584925,16,7
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,16,1
SAN JUAN AV. 1119,-58.381832,-34.622096,16,6
SAN JUAN AV. 1119,-58.381832,-34.622096,8,5
LIMA 1365,-58.381495,-34.624262,15,36
VEDIA 3438,-58.86039,-34.544242,15,9
VEDIA 3438,-58.86039,-34.544242,18,11
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,4,2
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,1,1
CORRIENTES AV. 5220,-58.439127,-34.59969,14,4
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,4,3
CORRIENTES AV. 5220,-58.439127,-34.59969,1,2
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,8,2
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,1,1
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,6,9
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,14,5
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,13,7
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,3,3
