fecha_conteo,dia_conteo,mes_conteo,anio_conteo,ubicacion_conteo,longitud_conteo,latitud_conteo,comuna_conteo,cantidad_carriles_via_conteos,especificacion_via_conteos,tipo_circulacion_via_conteos,sentido_circulacion_conteo,conteo_vehiculos
2025-04-17,17,4,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5629
2025-04-24,24,4,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5336
2025-05-01,1,5,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,3890
2025-05-08,8,5,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5471
2025-05-15,15,5,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5476
2025-05-22,22,5,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5218
2025-05-29,29,5,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5038
2025-06-05,5,6,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4947
2025-06-12,12,6,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,3474
2025-06-19,19,6,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5292
2025-06-26,26,6,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5254
2025-07-03,3,7,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5096
2025-07-10,10,7,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4889
2025-07-17,17,7,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4896
2025-07-24,24,7,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4549
2025-01-03,3,1,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6109
2025-01-10,10,1,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6182
2025-01-17,17,1,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6440
2025-01-24,24,1,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,3329
2025-01-31,31,1,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,5466
2025-02-07,7,2,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7310
2025-02-21,21,2,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7765
2025-02-28,28,2,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7003
2025-03-06,6,3,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7292
2025-03-27,27,3,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6884
2025-04-03,3,4,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6314
2025-04-10,10,4,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7434
2025-04-17,17,4,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7120
2025-04-24,24,4,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6931
2025-05-01,1,5,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,4063
2025-05-08,8,5,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6893
2025-05-15,15,5,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6730
2025-05-22,22,5,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6413
2025-05-29,29,5,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6522
2025-06-05,5,6,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6986
2025-06-12,12,6,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,2669
2025-06-19,19,6,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7993
2025-06-26,26,6,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7475
2025-07-03,3,7,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7093
2025-07-10,10,7,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7061
2025-07-17,17,7,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,7062
2025-07-24,24,7,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6739
2025-07-31,31,7,2025,ENTRE RIOS AV. 182,-58.391718,-34.611145,Comuna 1,,Carriles Exclusivos,única,norte,6573
2025-01-03,3,1,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3680
2025-01-10,10,1,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3025
2025-01-17,17,1,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,75
2025-01-24,24,1,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2965
2025-01-31,31,1,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3230
2025-02-07,7,2,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2725
2025-02-14,14,2,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2797
2025-02-21,21,2,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3017
2025-02-28,28,2,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3226
2025-03-06,6,3,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3246
2025-03-13,13,3,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2607
2025-03-20,20,3,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2258
2025-03-27,27,3,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3112
2025-04-03,3,4,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2919
2025-04-10,10,4,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2938
2025-04-17,17,4,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3247
2025-04-24,24,4,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3228
2025-05-01,1,5,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,1653
2025-05-08,8,5,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3236
2025-05-15,15,5,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3221
2025-05-22,22,5,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3226
2025-05-29,29,5,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2570
2025-06-05,5,6,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,2927
2025-06-12,12,6,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3142
2025-06-19,19,6,2025,CORDOBA AV. 1147,-58.383217,-34.599039,Comuna 1,,Carriles Exclusivos,única,oeste,3017
